Name;Type;CD;Dodge;Crit%;Atk;DPS
Aerial Ace;Flying;2.90;0.60;.05;30;10.34
Air Cutter;Flying;3.30;0.90;.25;30;9.09
Ancient Power;Rock;3.60;0.35;.05;35;9.72
Aqua Jet;Water;2.35;0.40;.05;25;10.64
Aqua Tail;Water;2.35;0.20;.05;45;19.15
Blizzard;Ice;3.90;0.00;.05;100;25.64
Body Slam;Normal;1.56;0.20;.05;40;25.64
Bone Club;Ground;1.60;0.25;.05;25;15.63
Brick Break;Fight;1.60;0.40;.25;30;18.75
Brine;Water;2.40;0.35;.05;25;10.42
Bubble Beam;Water;2.90;0.20;.05;30;10.34
Bug Buzz;Bug;4.25;1.50;.05;75;17.65
Bulldoze;Ground;3.40;1.10;.05;35;10.29
Cross Chop;Fight;2.00;0.30;.25;60;30.00
Cross Poison;;1.50;0.30;.25;25;16.67
Dark Pulse;Dark;3.50;1.10;.05;45;12.86
Dazzling Gleam;Fairy;4.20;0.80;.05;55;13.10
Dig;Ground;5.80;0.40;.05;70;12.07
Disarming Voice;Fairy;3.90;1.80;.05;25;6.41
Discharge;Electric;2.50;0.70;.05;35;14.00
Dragon Claw;Dragon;1.60;0.20;.25;35;21.88
Dragon Pulse;Dragon;3.60;1.20;.05;65;18.06
Draining Kiss;Fairy;2.80;0.10;.05;25;8.93
Drill Peck;Flying;2.70;0.90;.05;40;14.81
Drill Run;Ground;3.40;0.70;.25;50;14.71
Earthquake;Ground;4.20;1.95;.05;100;23.81
Fire Blast;Fire;4.10;0.40;.05;100;24.39
Fire Punch;Fire;2.80;0.51;.05;40;14.29
Flame Burst;Fire;2.10;0.20;.05;30;14.29
Flame Charge;Fire;3.10;0.20;.05;25;8.06
Flame Wheel;Fire;4.60;0.50;.05;40;8.70
Flamethrower;Fire;2.90;0.90;.05;55;18.97
Flash Cannon;Steel;3.90;1.10;.05;60;15.38
Gunk Shot;Poison;3.00;0.40;.05;65;21.67
Heat Wave;Fire;3.80;0.40;.05;80;21.05
Horn Attack;Normal;2.20;0.30;.05;25;11.36
Hurricane;Flying;3.20;1.77;.05;80;25.00
Hydro Pump;Water;3.80;2.10;.05;90;23.68
Hyper Beam;Normal;5.00;0.80;.05;120;24.00
Hyper Fang;Normal;2.10;0.30;.05;35;16.67
Ice Beam;Ice;3.65;1.35;.05;65;17.81
Ice Punch;Ice;3.50;1.10;.05;45;12.86
Icy Wind;Ice;3.80;0.70;.05;25;6.58
Iron Head;Steel;2.00;0.25;.05;30;15.00
Leaf Blade;Grass;2.80;1.00;.25;55;19.64
Low Sweep;Fight;2.25;0.15;.05;30;13.33
Magnet Bomb;Steel;2.80;0.55;.05;30;10.71
Megahorn;Bug;3.20;0.30;.05;80;25.00
Moonblast;Fairy;4.10;0.60;.05;85;20.73
Mud Bomb;Ground;2.60;0.45;.05;30;11.54
Night Slash;Dark;2.70;0.20;.25;30;11.11
Ominous Wind;Ghost;3.10;0.25;.05;30;9.68
Petal Blizzard;Grass;3.20;1.00;.05;65;20.31
Play Rough;Fairy;2.90;1.30;.05;55;18.97
Poison Fang;Poison;2.40;0.20;.05;25;10.42
Power Gem;Rock;2.90;0.80;.05;40;13.79
Power Whip;Grass;2.80;1.30;.25;70;25.00
Psybeam;Pyschic;3.80;1.30;.05;40;10.53
Psychic;Pyschic;2.80;1.20;.05;55;19.64
Psyshock;Pyschic;2.70;0.50;.05;40;14.81
Rock Slide;Rock;3.20;1.40;.05;50;15.63
Rock Tomb;Rock;3.40;0.90;.25;30;8.82
Scald;Water;4.00;2.10;.05;55;13.75
Seed Bomb;Grass;2.40;0.50;.05;40;16.67
Shadow Ball;Ghost;3.08;0.30;.05;45;14.61
Signal Beam;Bug;3.10;1.00;.05;45;14.52
Sludge;Poison;2.60;0.50;.05;30;11.54
Sludge Bomb;Poison;2.60;0.50;.05;55;21.15
Sludge Wave;Poison;3.40;0.90;.05;70;20.59
Solar Beam;Grass;4.90;1.70;.05;120;24.49
Stomp;Normal;2.10;0.70;.05;30;14.29
Stone Edge;Rock;3.10;0.40;.5;80;25.81
Struggle;Normal;1.70;0.70;.05;15;8.85
Submission;Fight;2.10;0.15;.05;30;14.29
Swift;Normal;3.00;0.50;.05;30;10.00
Thunder;Electric;4.30;1.55;.05;100;23.26
Thunder Punch;Electric;2.40;0.25;.05;40;16.67
Thunderbolt;Electric;2.70;0.80;.05;55;20.37
Twister;Dragon;2.70;1.75;.05;25;9.26
Vice Grip;Normal;2.10;0.25;.05;25;11.90
Water Pulse;Water;3.30;1.00;.05;35;10.61
Wrap;Normal;4.00;0.60;.05;25;6.25
X-Scissor;Bug;2.10;0.25;.05;35;16.67
