Name;Type;CD;Atk;EPS;D_DPS;DPS
Acid;Poison;1.05;10;9.52;3.28;9.52
Bite;Dark;0.50;6;14.00;2.40;12.00
Bubble;Water;2.30;25;10.87;5.81;10.87
Bug Bite;Bug;0.45;5;15.56;2.04;11.11
Bullet Punch;Steel;1.20;10;8.33;3.13;8.33
Confusion;Psycho;1.51;15;9.27;4.27;9.93
Cut;Normal;1.13;12;8.85;3.83;10.62
Dragon Breath;Dragon;0.50;6;14.00;2.40;12.00
Ember;Fire;1.05;10;9.52;3.28;9.52
Feint Attack;Dark;1.04;12;9.62;3.95;11.54
Fire Fang;Fire;0.84;10;9.52;3.52;11.90
Frost Breath;Ice;0.81;9;8.64;3.20;11.11
Fury Cutter;Bug;0.40;3;15.00;1.25;7.50
Ice Shard;Ice;1.40;15;8.57;4.41;10.71
Karate Chop;Fight;0.80;6;10.00;2.14;7.50
Lick;Ghost;0.50;5;12.00;2.00;10.00
Low Kick;Fight;0.60;5;11.67;1.92;8.33
Metal Claw;Steel;0.63;8;11.11;3.04;12.70
Mud Shot;Ground;0.55;6;12.73;2.35;10.91
Mud Slap;Ground;1.35;15;8.89;4.48;11.11
Peck;Flying;1.15;10;8.70;3.17;8.70
Poison Jab;Poison;1.05;12;9.52;3.93;11.43
Poison Sting;Poison;0.58;6;13.91;2.33;10.43
Pound;Normal;0.54;7;12.96;2.76;12.96
Psycho Cut;Psycho;0.57;7;12.28;2.72;12.28
Quick Attack;Normal;1.33;10;9.02;3.00;7.52
Razor Leaf;Grass;1.45;15;8.28;4.35;10.34
Rock Smash;Fight;1.41;15;8.51;4.40;10.64
Rock Throw;Rock;1.36;12;11.03;3.57;8.82
Scratch;Normal;0.50;6;14.00;2.40;12.00
Shadow Claw;Ghost;0.95;11;8.42;3.73;11.58
Spark;Electric;0.70;7;11.43;2.59;10.00
Splash;Water;1.23;0;0.00;0.00;0.00
Steel Wing;Steel;1.33;15;9.02;4.50;11.28
Sucker Punch;Dark;0.70;7;12.86;2.59;10.00
Tackle;Normal;1.10;12;9.09;3.87;10.91
Thunder Shock;Electric;0.60;5;13.33;1.92;8.33
Vine Whip;Grass;0.65;7;10.77;2.64;10.77
Water Gun;Water;0.50;6;14.00;2.40;12.00
Wing Attack;Flying;0.75;9;9.33;3.27;12.00
Zen Headbutt;Psycho;1.05;12;8.57;3.93;11.43
